"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahamas, The","BHS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2111","2167","","","","","","1405","","","","","1101","421","691","","402","1070","","","","","","","2439","","",
"Bosnia and Herzegovina","BIH","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35281","","","","","","","","","","","","","","13704","15094","16004","10470","14252","12974","12380","7654","8162","",
"Belize","BLZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","623","1278","","1476","1144","1111","1066","1228","820","627","497","404","159","209","49","73","64","83","",
"Bermuda","BMU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","493","537","","","","","299","197","","","","","","","","","","","","","","","","","","","","","","","","","","308","359","","","","","","",
"Bolivia","BOL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24219","24620","21839","21702","20447","18731","21338","20745","21079","22791","33835","12548","29646","45836","68704","69725","70788","66534","60700","49388","",
"Brazil","BRA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176218","360528","","628402","58594","295836","","254111","131608","238951","202847","245631","264739","","",
"Barbados","BRB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","2430","2056","2050","","","77","","","","","969","657","114","","","","","","48","187","","1243","","","","","","","314","549","652","970","968","1053","1136","898","694","396","803","660","797","","","1097","964","957","1099","",
"Brunei Darussalam","BRN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","1213","1282","2753","2883","3772","4163","4065","3963","","3404","","","","","1689","1556","1268","1201","415","","","","","","","","","","","","","","538","","","626","589","676","554","628","660","",
"Bhutan","BTN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","21973","21649","","","","","","","","","","","","","","","","","","","24073","24101","22974","21025","","","","16555","14526","","11640","9228","8152","7645","6599","7193","","8544","9279","9646","",
"Botswana","BWA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","42172","45212","45579","46070","44325","41135","39018","36871","37234","36894","34013","29727","","27112","27221","25495","24146","23725","24130","23661","25479","23378","24087","24149","23612","34811","32943","","27487","27958","26417","24044","23550","23738","20211","23687","21223","22301","22992","21319","","","11937","10690","17698","","","","",
"Central African Republic","CAF","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","45963","43194","41831","","","","56897","58603","","","53822","50905","44925","","","53298","80107","89413","92694","70681","86144","","","","","","","","","","","","","","142507","142632","114404","85446","85734","79513","90325","85211","","","","","","",
"Canada","CAN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","48548","49209","54515","57555","55218","54343","55187","46575","59705","24351","27871","43282","45819","63484","52052","","18913","4540","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234735","135873","157561","151438","147266","153778","153911","152263","158545","154124","135450","123725","117043","107457","115653","117299","131757","141889","149277","152321","154445","",
"Switzerland","CHE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","78434","75693","","","65750","63313","62449","61883","59828","57048","53192","48138","42633","38763","37473","38289","41671","44960","26995","22787","","","1847","2813","3364","3441","3517","","","","","","","2765","2520","2810","1469","1369","1439","724","","",
"Channel Islands","CHI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33611","34962","54390","52320","60569","65208","72043","70434","64240","54735","","",
"China","CHN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","1091484","","","","506840","1414028","2315342","3460813","4829038","5901421","6663892","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","224167","","","","","","","","","","","","","","","","","","","462405","461439","","460835","477043","432160","431007","552666","","","","","","646578","","","","495729","388620","323344","143696","131946","",
"Cameroon","CMR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","137163","153819","169848","194708","158651","155908","171997","168539","170273","175548","","","","","","","","180457","","204919","234128","","","","","","","","","","","","","","","","","","","","50534","7951","","8347","","10140","11908","",
"Congo, Dem. Rep.","COD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","250263","302855","","","314165","","","","281544","","","","293555","301349","","","","715997","","","898683","1009006","1097401","1071926","686409","","","","2356583","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","13415","","6837","","5623","","2906","3027","17567","19810","19977","20722","18565","","","","","","","","","","","","","","","","","","","","","148520","122770","","","","46041","","58020","","","","","","",
"Colombia","COL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","707945","","","","","790829","","","","","","","","93536","53970","118164","109552","","69225","58670","81036","96696","79026","64559","54420","54258","116626","144745","161904","142854","134241","132132","",
"Comoros","COM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","5095","","","","","","","9277","","","","","15601","12563","","","","","","","9203","","","","","","6293","9271","","","9477","",
"Cabo Verde","CPV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","2659","2853","3470","2154","1405","1155","1034","","","","","","","","","","","","","","686","891","1039","1894","2020","2339","2758","3373","3752","4154","4323","4101","4296","4180","4179","4280","4309","",
"Costa Rica","CRI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","19373","","16965","15316","","17124","14580","","16358","18450","18052","16626","19716","","","25556","25022","25412","","26020","27070","26922","","","","","","","","","","","","","","","","","","","","1523","1463","3801","7998","7504","7199","","",
"Caribbean small states","CSS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","29627","30040","27595","27509","23275","35856","42392","32766","33700","33688","40258","36440","28802","27903","29114","28682","29060","19062","22450","17040","25091","31434","32563","34651","33646","31908","31319","31531","29121","27519","27370","30838","37127","37403","31487","32039","29878","28972","24599","25431","23063","22810","23343","23344","","","","","",
"Cuba","CUB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","56081","44563","37754","","","","","10061","12925","30970","38251","34682","45413","50408","44308","32734","30884","30060","34197","37152","28417","24714","13788","15104","2822","3731","5767","4535","7824","11183","14233","23612","23661","25585","26626","13377","9791","586","10","10","1867","1432","13721","16900","15727","10711","",
"Curacao","CUW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","8168","8466","8293","8277","10694","11429","11703","11302","10935","11000","9796","10923","10702","10568","10372","8818","7519","7128","7361","8071","8280","9182","793","983","1243","1220","1273","","669","765","923","587","510","380","130","142","163","212","155","245","189","552","814","963","691","","","",
"Czech Republic","CZE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4197","10373","","","","","","","","","","","","","","","",
"Djibouti","DJI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","25195","25832","27653","29815","31735","32939","","33236","35273","35549","36116","37297","39487","","41009","41265","39088","37892","","35547","34959","33340","31841","25514","26116","","21732","","21486","16812","20438","21960","18448","",
"Dominica","DMA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","604","762","","1308","1170","1510","932","","","","","","","","","","","","","","","","","","","","","","143","287","381","466","421","174","","","","","","","83","","",
"Denmark","DNK","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","10832","8739","4841","2201","3135","2637","2559","2342","4453","4518","3193","4241","4879","2000","3149","3071","","","4478","4791","","","","4928","9620","9098","7937","9750","9784","9882","6720","5360","4090","4698","3692","3122","","",
"Dominican Republic","DOM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100150","95018","","46117","62165","114333","103977","117299","74286","95903","6804","33219","48075","61784","72136","88234","69688","79310","","",
"Algeria","DZA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","291116","236073","207246","185514","175112","172831","185666","176376","181922","198497","226088","218932","229414","224761","213008","202321","191930","190988","163218","151144","177728","194434","198879","221989","244299","","200358","186354","135953","110336","99116","80858","71568","63815","60720","36745","","","","","","","","61","","",
"East Asia & Pacific (excluding high income)","EAP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","3485246","2494665","2098601","1828351","2134232","2139510","2993741","3970628","5027463","6507081","7706522","8629854","7074870","5411740","4927050","4314727","2184316","2213522","2380060","4231350","4664481","3734670","3589585","3253507","3295179","3345661","3236877","3519319","3289737","3244584","3150195","3133996","",
"Early-demographic dividend","EAR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","24931713","25210445","24407541","23269731","23637582","23397997","23089642","22238881","22950807","22860237","22384140","21759405","21189062","20878801","20892564","21135735","20920152","21341881","20745297","19783444","19994271","20103158","20523635","20682893","20470397","21058928","20840198","21377953","21236482","21062778","19726975","19401009","19414737","18869368","16776233","14916983","13820505","11416315","11921267","12792908","11983964","12698778","11399827","11183531","10974645","10288555","10012742","10212533","",
"East Asia & Pacific","EAS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","5388403","4373934","3587678","2558738","2140063","1865450","2179566","2228481","3114580","4121670","5158942","6652758","7871302","8832134","7317372","5654234","5150652","4554338","2395738","2372059","2511096","4324767","4755127","3813692","3665145","3327296","3393784","3450132","3377456","3713356","3493459","3388386","3326820","3311860","",
"Europe & Central Asia (excluding high income)","ECA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","584984","679845","730600","899511","857048","888377","813867","742481","821386","733661","597917","583760","599822","549110","583218","562913","551167","604528","542279","527043","532462","485525","512485","480324","491167","496217","",
"Europe & Central Asia","ECS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","1873205","1821480","1758814","1675157","1640385","1543481","1489241","1475503","1612431","1638202","1738968","1649630","1625719","1464059","1353881","1237324","1279713","1281534","1172678","1256861","1273060","1287705","1420413","1317150","1318358","1000280","916758","1059564","974004","874205","889150","947204","828268","858207","845957","790713","862762","794580","772565","768317","705963","761744","718361","734944","742281","",
"Ecuador","ECU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","100932","","102004","100998","109800","110013","92935","83113","62927","73864","","","","","","","","","","","","","","65063","63256","56209","36650","35435","38459","30805","18451","","","","","","","","37340","38135","","","44094","26729","28059","26017","30049","",
"Egypt, Arab Rep.","EGY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","690111","685121","703958","","","","","768167","","","","","","","","","","","","","","","","386391","","","438133","","617670","525918","466679","412330","340084","263996","","","","","","","","182736","","207550","","109379","117191","",
"Euro area","EMU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","635322","641767","639370","640748","559114","517045","482748","476216","408419","374565","365771","361686","395324","469482","482617","460647","370117","348426","331322","312345","323078","323148","373660","350636","346904","304133","236934","243052","98908","79663","143637","149018","161789","173467","180827","115923","106753","95706","104122","120424","127148","118824","121604","136036","161740","151480","161340","161726","",
"Eritrea","ERI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173715","","175796","177261","177253","177460","","163033","147986","140559","123619","109455","101389","97708","101345","117275","128835","142349","153989","151867","150339","170917","176710","188736","","217048","",
"Spain","ESP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","140066","121033","102512","","","","28643","29225","30760","","","","","","","","","26776","17382","14308","","10451","","","","","","","2493","4375","4952","3685","2326","4026","3495","1018","1130","2709","6046","7954","6635","7243","15832","24200","18059","23062","","",
"Estonia","EST","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8115","5863","","","1063","1238","1242","","1808","2143","1901","1842","1344","1366","1286","157","177","226","637","2504","2996","3036","","",
"Ethiopia","ETH","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","2265246","2303760","2453401","","","","","3505147","3476496","3331031","","3072425","3045588","2928398","2792814","2763821","2835832","2825467","2274378","2098443","1831564","1494617","1616702","1789655","1497081","1427973","","862316","871716","","","",
"European Union","EUU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","853535","856381","843769","875701","814978","792573","779233","791256","753489","744975","725521","758778","767938","844249","851302","869989","774405","727246","708538","727645","758721","803966","858780","760428","658956","596286","516752","457378","218219","225878","288089","286272","308829","321046","351600","286937","291895","299360","259311","280226","274316","271216","267945","266803","299567","292882","306666","309057","",
"Fragile and conflict affected situations","FCS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","5522944","5654563","5671847","5547892","5829911","5863955","5782969","5885810","6042670","6079580","5988104","5881091","6067045","5980784","6048558","6213960","6299073","6674663","6916245","7243619","7794098","7433499","7688436","7877757","7837963","7595889","8025134","8422026","9052489","9692855","9540906","9222242","9000058","8686347","8471385","8385766","8076260","8062112","7341949","7386801","7238321","7174890","7212072","7702046","7798870","8034588","8082743","8227678","",
"Finland","FIN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2446","2878","3463","3814","2666","747","","","612","1260","2549","4349","5383","6584","5244","3968","3663","3083","2502","1519","1637","1329","1553","1788","","",
"Fiji","FJI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1964","","1797","2727","3764","3527","3124","3472","3002","1244","","680","526","","625","","","423","","","","2121","","1228","","","",
"France","FRA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","81082","80110","","","","","","","","","","30437","83778","","92295","32988","","","","","","7818","37528","40105","21675","4709","9907","","8059","79249","80629","81421","85672","88140","20153","17747","22639","30522","38597","44090","27307","33133","31172","28836","26428","25069","","",
"Faroe Islands","FRO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1072","1290","","","",
"Gabon","GAB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7739","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","53853","76463","105689","122009","126204","125203","113700","109436","100841","61795","63421","84432","115466","118514","141250","104188","46770","11728","","","46808","80061","","","","","","906","2098","2006","","7394","4066","17363","42","15060","54739","22855","38385","34621","36078","29448","","","","4009","","",
"Georgia","GEO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31185","33018","28546","","","","","","","24000","26091","23146","8360","6150","7469","","5911","2287","","","","","","",
"Ghana","GHA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","547298","505651","604111","580528","622258","","581262","621822","533563","454405","482195","","343048","","279049","235160","206679","295185","333405","",
"Gibraltar","GIB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","220370","211081","231203","250909","256553","269843","288640","293132","","","","","","","345315","340068","332075","316337","267120","249902","234754","228189","219453","208584","220096","212155","186409","161531","167525","159216","127119","","132521","","",
"Gambia, The","GMB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","20995","22881","23837","25021","25668","25831","23058","21251","20262","18822","14969","13490","12403","12897","12115","13664","","","","","","35912","34752","","","30014","","29177","19069","23187","24149","27184","26522","28864","34011","30099","31994","39427","","43197","45545","44401","51822","50097","47256","45827","43271","",
"Guinea-Bissau","GNB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","24925","17737","","22693","24489","","35339","37912","","","","","","","","","","","","45049","","","","","","","","","","31046","","","","","","","","",
